Sitio,Grupo,Tipo,Fecha,Transecto,Bloque,Numero,SHJ ID,FVE ID,DFM ID,Codigo,Largo,Swab,Dedo,Recap,Foto,Muerto,Notas
LL-C,Estacion,C,03/09/22,4,C,30,priach,priach,,0003,2.7,Y,Y,N,30,,
LL-N,Estacion,N,03/09/22,1,B,31,priach,priach,,0002,2.6,Y,Y,N,31,,
LL-N,Estacion,N,03/09/22,1,B,32,priach,priach,,0002,2.6,Y,Y,N,32,,escapó uno de 1C
LL-N,Estacion,N,03/09/22,1,D,33,priach,priach,,0002,2.9,Y,Y,N,33,,
LL-N,Estacion,N,03/09/22,1,D,34,priach,priach,,0002,2.9,Y,Y,N,34,,
LL-N,Estacion,N,03/09/22,2,A,35,priach,priach,,0002,3.5,Y,Y,N,35,,
LL-N,Estacion,N,03/09/22,2,C,36,priach,priach,,0002,2.9,Y,Y,N,36,,
LL-N,Estacion,N,03/09/22,2,C,37,priach,priach,,0002,3.1,Y,Y,N,37,,
LL-N,Estacion,N,03/09/22,2,C,38,priach,priach,,0002,1.8,Y,Y,N,38,,
LL-N,Estacion,N,03/09/22,2,D,39,priach,priach,,0002,2.8,Y,Y,N,39,,
LL-N,Estacion,N,03/09/22,4,B,40,priach,priach,,0002,3.7,Y,Y,N,40,,
LL-N,Estacion,N,03/09/22,4,B,41,priach,priach,,0002,2.8,Y,Y,N,41,,
LL-N,Estacion,N,03/09/22,4,B,42,priach,priach,,0002,3.0,Y,Y,N,42,,
LL-N,Estacion,N,03/09/22,4,B,R3,priach,priach,,0002,NA,N,N,Y,R3,,
LL-N,Estacion,N,03/09/22,4,C,43,priach,priach,,0002,3.4,Y,Y,N,43,,
JZ-N,Estacion,N,05/09/22,1,C,44,priach,priach,,0020,3.4,Y,Y,N,44,,
JZ-N,Estacion,N,05/09/22,1,D,R4,priach,priach,,0005,NA,N,N,Y,R4,,
JZ-N,Estacion,N,05/09/22,2,A,45,priach,priach,,0020,2.3,Y,Y,N,45,,
JZ-N,Estacion,N,05/09/22,3,D,46,priach,priach,,0020,1.8,Y,Y,N,46,,
JZ-N,Estacion,N,05/09/22,4,A,47,priach,priach,,0020,4.3,Y,Y,N,47,,
JZ-C,Estacion,C,05/09/22,1,A,48,priach,priach,,0005,2.1,Y,Y,N,48,,uno escapo del 1B
JZ-C,Estacion,C,05/09/22,1,C,R5,priach,priach,,0005,NA,N,N,Y,R5,,
JZ-C,Estacion,C,05/09/22,1,C,49,priach,priach,,0005,4.2,Y,Y,N,49,,
JZ-C,Estacion,C,05/09/22,1,D,R6,priach,priach,,0005,NA,N,N,Y,R6,,
JZ-C,Estacion,C,05/09/22,2,B,50,priach,priach,,0005,2.6,Y,Y,N,50,,
JZ-C,Estacion,C,05/09/22,2,C,51,priach,priach,,0005,2.8,Y,Y,N,51,,
JZ-C,Estacion,C,05/09/22,2,D,R7,priach,priach,,0005,NA,N,N,Y,R7,,
JZ-C,Estacion,C,05/09/22,3,C,52,priach,priach,,0005,1.9,Y,Y,N,52,,
JZ-C,Estacion,C,05/09/22,3,D,53,priach,priach,,0005,3.2,Y,Y,N,53,,
LL-N,Estacion,N,06/09/22,1,A,54,priach,priach,,0002,2.9,Y,Y,N,54,,uno escapo del 1C
LL-N,Estacion,N,06/09/22,1,C,R8,priach,priach,,0002,NA,N,N,Y,R8,,
LL-N,Estacion,N,06/09/22,2,A,55,priach,priach,,0002,2.7,Y,Y,N,55,,
LL-N,Estacion,N,06/09/22,2,B,56,priach,priach,,0002,2.9,Y,Y,N,56,,
LL-N,Estacion,N,06/09/22,2,C,57,priach,priach,,0002,1.9,Y,Y,N,57,,
LL-N,Estacion,N,06/09/22,2,B,58,priach,priach,,0002,3.6,Y,Y,N,58,,
LL-N,Estacion,N,06/09/22,2,D,59,priach,priach,,0002,3.1,Y,Y,N,59,,
LL-N,Estacion,N,06/09/22,3,A,R9,priach,priach,,0002,NA,N,N,Y,R9,,
LL-N,Estacion,N,06/09/22,3,B,60,priach,priach,,0002,4.1,Y,Y,N,60,,
LL-N,Estacion,N,06/09/22,3,C,61,priach,priach,,0002,NA,Y,N,N,61,,"escapo, no pudimos medir ni cortar dedo pero si hay swab"
LL-N,Estacion,N,06/09/22,3,B,62,priach,priach,,0002,2.9,Y,Y,N,62,,
LL-N,Estacion,N,06/09/22,4,B,R10,priach,priach,,0002,NA,N,N,Y,R10,,
LL-N,Estacion,N,06/09/22,4,B,63,priach,priach,,0002,3.9,Y,Y,N,63,,
LL-N,Estacion,N,06/09/22,4,B,64,priach,priach,,0002,2.7,Y,Y,N,64,,
LL-N,Estacion,N,06/09/22,4,B,65,priach,priach,,0002,3.8,Y,Y,N,65,,
LL-N,Estacion,N,06/09/22,4,C,66,epibou,epibou,,0002,1.6,Y,Y,N,66,,
LL-N,Estacion,N,06/09/22,4,D,67,priach,priach,,0002,2.5,Y,Y,N,67,,
LL-N,Estacion,N,06/09/22,4,D,68,priach,priach,,0002,2.8,Y,Y,N,68,,
LL-C,Estacion,C,06/09/22,1,A,69,priach,priach,,0003,1.3,Y,Y,N,69,muerto,murió
LL-C,Estacion,C,06/09/22,1,B,R11,priach,priach,,0003,NA,N,N,Y,R11,,
LL-C,Estacion,C,06/09/22,1,C,70,priach,priach,,0003,3.1,Y,Y,N,70,,
LL-C,Estacion,C,06/09/22,2,A,R12,priach,priach,,0003,NA,N,N,Y,R12,,
LL-C,Estacion,C,06/09/22,2,A,71,priach,priach,,0003,0.8,Y,Y,N,71,,
LL-C,Estacion,C,06/09/22,2,C,R13,priach,priach,,0003,NA,N,N,Y,R13,,
LL-C,Estacion,C,06/09/22,2,C,72,priach,priach,,0003,2.8,Y,Y,N,72,,
LL-C,Estacion,C,06/09/22,3,A,R14,priach,priach,,0003,NA,N,N,Y,R14,,
LL-C,Estacion,C,06/09/22,3,A,73,priach,priach,,0003,2.6,Y,Y,N,73,,
LL-C,Estacion,C,06/09/22,3,B,74,priach,priach,,0003,2.9,Y,Y,N,74,,
LL-C,Estacion,C,06/09/22,3,C,75,priach,priach,,0003,3.0,Y,Y,N,75,,
LL-C,Estacion,C,06/09/22,3,C,76,priach,priach,,0003,2.6,Y,Y,N,76,,
JZ-C,Estacion,C,07/09/22,1,A,77,priach,priach,,0005,2.4,Y,Y,N,77,,
JZ-C,Estacion,C,07/09/22,1,A,78,priach,priach,,0005,2.9,Y,Y,N,77,,
JZ-C,Estacion,C,07/09/22,1,C,R15,priach,priach,,0005,NA,N,N,Y,R15,,
JZ-C,Estacion,C,07/09/22,1,D,79,priach,priach,,0005,3.6,Y,Y,N,79,,
JZ-C,Estacion,C,07/09/22,1,D,80,priach,priach,,0005,3.6,Y,Y,N,80,,
JZ-C,Estacion,C,07/09/22,2,A,81,priach,priach,,0005,2.9,Y,Y,N,79,,
JZ-C,Estacion,C,07/09/22,2,A,82,priach,priach,,0005,1.7,Y,Y,N,82,,
JZ-C,Estacion,C,07/09/22,2,C,83,priach,priach,,0005,3.0,Y,Y,N,R15,,
JZ-C,Estacion,C,07/09/22,2,D,R16,priach,priach,,0005,NA,N,N,Y,82,,
JZ-C,Estacion,C,07/09/22,3,,R17,priach,priach,,0005,NA,N,N,Y,R17,,
JZ-C,Estacion,C,07/09/22,3,D,84,priach,priach,,0005,2.9,Y,Y,N,77,,
JZ-C,Estacion,C,07/09/22,3,D,85,smipha,smipha,,0005,6.9,Y,Y,N,85,,
JZ-C,Estacion,C,07/09/22,4,B,86,boaboa,boaboa,,0005,6.5,Y,Y,N,86,,
JZ-C,Estacion,C,07/09/22,4,D,87,priach,priach,,0005,3.2,Y,Y,N,79,,
JZ-N,Estacion,N,07/09/22,1,B,88,priach,priach,,0022 + 0005,2.6,N,N,Y,R17,,"mal corté, tuve que arreglarlo"
JZ-N,Estacion,N,07/09/22,1,D,89,rhiala,rhiala,,0022 + 0005,1.6,Y,Y,N,89,,"mal corté, tuve que arreglarlo"
JZ-N,Estacion,N,07/09/22,2,A,90,priach,priach,,0020,2.7,Y,Y,N,R17,,
JZ-N,Estacion,N,07/09/22,2,B,91,priach,priach,,0020,2.9,Y,Y,N,R17,,
JZ-N,Estacion,N,07/09/22,2,C,92,rhiala,rhiala,,0020,2.0,Y,Y,N,92,,
FCAT-V2,Estacion,V,08/09/22,1,C,93,oopsyl,oopsyl,,0030,2.5,Y,Y,N,93,,
FCAT-V2,Estacion,V,08/09/22,2,A,94,priach,priach,,0030,2.8,Y,Y,N,94,,
FCAT-V2,Estacion,V,08/09/22,3,D,95,priach,priach,,0030,2.0,Y,Y,N,94,,
FCAT-V2,Estacion,V,08/09/22,4,A,96,priach,priach,,0030,2.0,Y,Y,N,96,,
FCAT-B2,Estacion,B,08/09/22,1,B,97,oopsyl,oopsyl,,0030 + 0040,1.8,Y,Y,N,93,,"mal corté, tuve que arreglarlo"
FCAT-B2,Estacion,B,08/09/22,1,C,98,priach,priach,,0040,2.9,Y,Y,N,94,,
FCAT-B2,Estacion,B,08/09/22,1,C,99,priach,priach,,0040,2.9,Y,Y,N,94,,
FCAT-B2,Estacion,B,08/09/22,2,A,100,priwal,priwal,,0040,2.9,Y,Y,N,100,,
FCAT-B2,Estacion,B,08/09/22,2,D,101,epiesp,epiesp,,0030 + 0040,1.8,Y,Y,N,101,,Epipedobates espinosai 
FCAT-B2,Estacion,B,08/09/22,3,A,102,oopsyl,oopsyl,,0040,2.2,Y,Y,N,93,,
FCAT-B2,Estacion,B,08/09/22,3,A,103,priach,priach,,0040,2.6,Y,Y,N,94,,
FCAT-B2,Estacion,B,08/09/22,3,A,104,priach,priach,,0040,2.6,Y,Y,N,94,,
FCAT-B2,Estacion,B,08/09/22,4,D,105,leubil,leubil,,0040,2.5,Y,Y,N,105,colectado,muerto - tomamos el individuo para llevar al USFQ
AL-N,Estacion,N,09/09/22,1,A,106,priach,priach,,0200,2.0,Y,Y,N,106,,
AL-N,Estacion,N,09/09/22,2,A,107,priach,priach,,0200,2.3,Y,Y,N,106,,
AL-N,Estacion,N,09/09/22,2,B,108,priach,priach,,0200,2.1,Y,Y,N,108,,
AL-N,Estacion,N,09/09/22,2,B,109,priach,priach,,0200,3.5,Y,Y,N,109,,
AL-N,Estacion,N,09/09/22,2,C,110,priach,priach,,0200,2.3,Y,Y,N,106,,
AL-N,Estacion,N,09/09/22,3,B,111,priach,priach,,0200,2.1,Y,Y,N,111,,
AL-N,Estacion,N,09/09/22,4,D,112,priach,priach,,0200,1.8,Y,Y,N,106,,
JZJ-C,Estacion,C,09/09/22,1,A,113,priach,priach,,0300,1.8,Y,Y,N,106,,
JZJ-C,Estacion,C,09/09/22,1,B,114,priach,priach,,0300,2.2,Y,Y,N,114,,
JZJ-C,Estacion,C,09/09/22,1,B,115,priach,priach,,0300,2.6,Y,Y,N,114,,
JZJ-C,Estacion,C,09/09/22,1,C,116,priach,priach,,0300,2.1,Y,Y,N,116,,
JZJ-C,Estacion,C,09/09/22,1,C,117,priach,priach,,0300,2.2,Y,Y,N,117,,
JZJ-C,Estacion,C,09/09/22,1,C,118,priach,priach,,0300,2.3,Y,Y,N,114,,
JZJ-C,Estacion,C,09/09/22,1,D,119,priach,priach,,0300,1.6,Y,Y,N,114,,
JZJ-C,Estacion,C,09/09/22,2,A,120,priach,priach,,0300,2.5,Y,Y,N,117,,
JZJ-C,Estacion,C,09/09/22,2,A,121,priach,priach,,0300,2.8,Y,Y,N,106,,
JZJ-C,Estacion,C,09/09/22,2,B,122,priach,priach,,0300,3.4,Y,Y,N,122,,
JZJ-C,Estacion,C,09/09/22,2,C,123,priach,priach,,0300,2.2,Y,Y,N,123,,
JZJ-C,Estacion,C,09/09/22,2,D,124,priach,priach,,0300,2.9,Y,Y,N,123,,
JZJ-C,Estacion,C,09/09/22,3,A,125,priach,priach,,0300,2.7,Y,Y,N,108,,
JZJ-C,Estacion,C,09/09/22,3,B,126,priach,priach,,0300,4.3,Y,Y,N,108,,
JZJ-C,Estacion,C,09/09/22,3,C,127,priach,priach,,0300,2.5,Y,Y,N,114,,
JZJ-C,Estacion,C,09/09/22,3,C,128,priach,priach,,0300,3.7,Y,Y,N,108,,
JZJ-C,Estacion,C,09/09/22,3,C,129,priach,priach,,0300,2.9,Y,Y,N,109,,
JZJ-C,Estacion,C,09/09/22,3,D,130,priach,priach,,0300,3.2,Y,Y,N,109,,
JZJ-C,Estacion,C,09/09/22,3,D,131,priach,priach,,0300,3.0,Y,Y,N,109,,
JZJ-C,Estacion,C,09/09/22,4,A,132,priach,priach,,0300,3.4,Y,Y,N,132,,
JZJ-C,Estacion,C,09/09/22,4,A,133,priach,priach,,0300,2.6,Y,Y,N,132,,
JZJ-C,Estacion,C,09/09/22,4,B,134,priach,priach,,0300,2.4,Y,Y,N,108,,
JZJ-C,Estacion,C,09/09/22,4,D,135,priach,priach,,0300,2.8,Y,Y,N,109,,
JZJ-C,Estacion,C,09/09/22,4,D,136,priach,priach,,0300,2.7,Y,Y,N,108,,
FCAT-B2,Estacion,B,10/09/22,1,A,137,epibou,epibou,,0040,1.6,Y,Y,N,137,,
FCAT-B2,Estacion,B,10/09/22,1,C,R18,priach,priach,,0040,NA,N,N,Y,R18,,
FCAT-B2,Estacion,B,10/09/22,2,C,138,epibou,epibou,,0040,1.8,Y,Y,N,138,,
FCAT-B2,Estacion,B,10/09/22,2,D,139,priach,priach,,0040,3.6,Y,Y,N,139,,
FCAT-B2,Estacion,B,10/09/22,3,A,R19,oopsyl,oopsyl,,0010 + 0040,NA,N,N,Y,R19,,"mal corto, no tuvo el 0010 cuando lo encontramos pues coregimos el codigo"
FCAT-B2,Estacion,B,10/09/22,3,B,140,priach,priach,,0040,3.0,Y,Y,N,139,,
FCAT-B2,Estacion,B,10/09/22,4,A,141,priach,priach,,0040,3.2,Y,Y,N,139,,
FCAT-B2,Estacion,B,10/09/22,4,C,142,priach,priach,,0040,2.1,Y,Y,N,138,,
FCAT-B2,Estacion,B,10/09/22,4,D,143,priach,priach,,0040,2.6,Y,Y,N,139,,
FCAT-B2,Estacion,B,10/09/22,4,D,144,priach,priach,,0040,2.9,Y,Y,N,139,,
FCAT-V2,Estacion,V,10/09/22,1,A,145,priach,priach,,0030,3.8,Y,Y,N,145,,
FCAT-V2,Estacion,V,10/09/22,1,A,146,priach,priach,,0030,3.5,Y,Y,N,139,,
FCAT-V2,Estacion,V,10/09/22,1,B,147,priach,priach,,0030,2.3,Y,Y,N,139,,
FCAT-V2,Estacion,V,10/09/22,1,D,148,oopsyl,oopsyl,,0030,2.9,Y,Y,N,R19,,
FCAT-V2,Estacion,V,10/09/22,2,A,149,priach,priach,,0030,3.0,Y,Y,N,139,,
FCAT-V2,Estacion,V,10/09/22,2,C,150,priach,priach,,0030,2.2,Y,Y,N,139,,
FCAT-V2,Estacion,V,10/09/22,2,C,151,priach,priach,,0030,3.4,Y,Y,N,139,,
FCAT-V2,Estacion,V,10/09/22,2,D,152,priach,priach,,0030,2.8,Y,Y,N,152,,
FCAT-V2,Estacion,V,10/09/22,3,D,153,priach,priach,,0030,2.8,Y,Y,N,139,,
FCAT-V2,Estacion,V,10/09/22,3,D,154,priach,priach,,0030,2.2,Y,Y,N,154,,
JZJ-C,Estacion,C,12/09/22,1,A,155,priach,priach,,0300,2.6,Y,Y,N,155,,
JZJ-C,Estacion,C,12/09/22,1,A,156,priach,priach,,0300,3.5,Y,Y,N,156,,
JZJ-C,Estacion,C,12/09/22,1,A,157,priach,priach,,0300,2.0,Y,Y,N,157,,
JZJ-C,Estacion,C,12/09/22,1,A,R20,priach,priach,,0300,NA,N,N,Y,157,,
JZJ-C,Estacion,C,12/09/22,1,A,R21,priach,priach,,0300,NA,N,N,Y,157,,
JZJ-C,Estacion,C,12/09/22,1,B,158,priach,priach,,0300,2.4,Y,Y,N,157,,
JZJ-C,Estacion,C,12/09/22,1,B,R22,priach,priach,,0300,NA,N,N,Y,157,,
JZJ-C,Estacion,C,12/09/22,1,B,159,priach,priach,,0300,2.5,Y,Y,N,156,,
JZJ-C,Estacion,C,12/09/22,1,B,160,priach,priach,,0300,2.8,Y,Y,N,155,,
JZJ-C,Estacion,C,12/09/22,1,C,161,priach,priach,,0300,2.2,Y,Y,N,160,,
JZJ-C,Estacion,C,12/09/22,1,C,R23,priach,priach,,0300,NA,N,N,Y,157,,1 escapo del 1D
JZJ-C,Estacion,C,12/09/22,2,A,162,priach,priach,,0300,1.7,Y,Y,N,157,,
JZJ-C,Estacion,C,12/09/22,2,A,R24,priach,priach,,0300,NA,N,N,Y,156,,
JZJ-C,Estacion,C,12/09/22,2,B,163,priach,priach,,0300,3.6,Y,Y,N,155,,
JZJ-C,Estacion,C,12/09/22,2,B,164,priach,priach,,0300,3.3,Y,Y,N,155,,
JZJ-C,Estacion,C,12/09/22,2,C,165,priach,priach,,0300,2.3,Y,Y,N,156,,
JZJ-C,Estacion,C,12/09/22,2,C,166,priach,priach,,0300,3.9,Y,Y,N,166,,
JZJ-C,Estacion,C,12/09/22,3,A,167,priach,priach,,0300,3.4,Y,Y,N,166,,
JZJ-C,Estacion,C,12/09/22,3,B,168,priach,priach,,0300,2.6,Y,Y,N,168,,
JZJ-C,Estacion,C,12/09/22,3,B,169,priach,priach,,0300,1.9,Y,Y,N,169,,
JZJ-C,Estacion,C,12/09/22,3,C,170,priach,priach,,0300,3.3,Y,Y,N,170,,en amplexus
JZJ-C,Estacion,C,12/09/22,3,C,171,priach,priach,,0300,2.7,Y,Y,N,156,,en amplexus
JZJ-C,Estacion,C,12/09/22,3,C,R25,priach,priach,,0300,NA,N,N,Y,170,,
JZJ-C,Estacion,C,12/09/22,3,C,R26,priach,priach,,0300,NA,N,N,Y,170,,
JZJ-C,Estacion,C,12/09/22,3,D,172,priach,priach,,0300,2.3,Y,Y,N,169,,
JZJ-C,Estacion,C,12/09/22,3,D,R27,priach,priach,,0300,NA,N,N,Y,170,,
JZJ-C,Estacion,C,12/09/22,3,D,173,priach,priach,,0300,2.5,Y,Y,N,157,,
JZJ-C,Estacion,C,12/09/22,4,A,174,priach,priach,,0300,2.1,Y,Y,N,157,,
JZJ-C,Estacion,C,12/09/22,4,B,175,priach,priach,,0300,3.4,Y,Y,N,170,,
JZJ-C,Estacion,C,12/09/22,4,C,176,priach,priach,,0300,2.2,Y,Y,N,169,,
JZJ-C,Estacion,C,12/09/22,4,D,R28,priach,priach,,0300,NA,N,N,Y,155,,
AL-N,Estacion,N,12/09/22,1,A,177,priach,priach,,0200,2.4,Y,Y,N,169,,
AL-N,Estacion,N,12/09/22,1,A,R30,priach,priach,,0200,NA,N,N,Y,157,,
AL-N,Estacion,N,12/09/22,1,A,R31,priach,priach,,0200,NA,N,N,Y,169,,
AL-N,Estacion,N,12/09/22,2,C,178,priach,priach,,2000 + 0300 + 0200,4.0,Y,Y,N,166,,mal corté pero arreglado
AL-N,Estacion,N,12/09/22,2,C,179,priach,priach,,0200,2.5,Y,Y,N,169,,
AL-N,Estacion,N,12/09/22,3,D,180,priach,priach,,2000 + 0300 + 0200,2.9,Y,Y,N,166,,mal corté pero arreglado
AL-N,Estacion,N,12/09/22,4,D,181,priach,priach,,0200,3.5,Y,Y,N,169,,
AL-N,Estacion,N,12/09/22,4,D,182,priach,priach,,0200,3.0,Y,Y,N,182,,
FCAT-V2,Estacion,V,13/09/22,2,C,183,priach,priach,,0030,2.5,Y,Y,N,183,,
FCAT-V2,Estacion,V,13/09/22,3,B,184,priach,priach,,0030,4.2,Y,Y,N,184,,
FCAT-V2,Estacion,V,13/09/22,3,C,185,priach,priach,,0030,2.7,Y,Y,N,183,,
FCAT-V2,Estacion,V,13/09/22,4,D,186,pri?,prilat,Pristimantis cf. latidiscus,0030,2.0,Y,Y,N,186,colectado,"muerto, llevado a USFQ para muestra - es latadiscus?"
FCAT-V2,Estacion,V,13/09/22,4,D,187,priach,priach,,0030,3.9,Y,Y,N,184,,
FCAT-B2,Estacion,B,13/09/22,1,C,188,oopsyl,oopsyl,,4000 + 0040 + 0030,3.1,Y,Y,N,188,,mal corté pero arreglado
FCAT-B2,Estacion,B,13/09/22,1,D,R32,priach,priach,,0040,NA,,,,R32,,
FCAT-B2,Estacion,B,13/09/22,1,D,189,priach,priach,,0040,4.0,Y,Y,N,184,,
FCAT-B2,Estacion,B,13/09/22,2,A,R33,priach,priach,,0040,NA,,,,184,,
FCAT-B2,Estacion,B,13/09/22,2,D,190,priach,priach,,0040,2.1,Y,Y,N,R32,,
FCAT-B2,Estacion,B,13/09/22,2,D,191,priach,priach,,0040,4.0,Y,Y,N,191,,
FCAT-B2,Estacion,B,13/09/22,3,A,192,priach,priach,,0040,3.4,Y,Y,N,191,,
FCAT-B2,Estacion,B,13/09/22,3,B,193,lepper,leprho,,0040,11.7,Y,Y,N,193,,
FCAT-B2,Estacion,B,13/09/22,3,D,194,priach,priach,,0040,3.6,Y,Y,N,184,,
FCAT-B2,Estacion,B,13/09/22,4,A,R34,priach,priach,,0040,NA,,,,R34,,
FCAT-B2,Estacion,B,13/09/22,4,C,195,priach,priach,,0040,2.5,Y,Y,N,184,,
FCAT-B2,Estacion,B,13/09/22,4,D,196,priach,priach,,0040,2.7,Y,Y,N,183,,
AL-N,Estacion,N,14/09/22,1,C,197,priach,priach,,0200,2.9,Y,Y,N,197,,
AL-N,Estacion,N,14/09/22,1,C,198,priach,priach,,0200,2.0,Y,Y,N,198,,
AL-N,Estacion,N,14/09/22,1,D,199,priwal,priwal,,0200,2.9,Y,Y,N,199,,
AL-N,Estacion,N,14/09/22,2,D,200,priach,priach,,0200,2.9,Y,Y,N,200,,
AL-N,Estacion,N,14/09/22,3,A,201,priach,priach,,0200,2.7,Y,Y,N,200,,
AL-N,Estacion,N,14/09/22,3,A,202,priach,priach,,0200,2.9,Y,Y,N,200,,
AL-N,Estacion,N,14/09/22,3,B,203,priach,priach,,0200,2.2,Y,Y,N,198,,
AL-N,Estacion,N,14/09/22,4,C,204,prilab,priesm,Pristimantis sp. ,0200,1.4,Y,Y,N,204,colectado,"traido a la USFQ, FVE no esta seguro que es P. esmeraldas"
JZJ-C,Estacion,C,14/09/22,1,A,R35,priach,priach,,0300,NA,N,N,Y,197,,
JZJ-C,Estacion,C,14/09/22,1,C,205,priach,priach,,0300,2.4,Y,Y,N,200,,
JZJ-C,Estacion,C,14/09/22,1,C,R36,priach,priach,,0300,NA,N,N,Y,200,,
JZJ-C,Estacion,C,14/09/22,1,D,206,priach,priach,,0300,2.6,Y,Y,N,197,,
JZJ-C,Estacion,C,14/09/22,1,D,207,priach,priach,,0300,2.5,Y,Y,N,200,,
JZJ-C,Estacion,C,14/09/22,1,D,208,priach,priach,,0300,3.9,Y,Y,N,200,,
JZJ-C,Estacion,C,14/09/22,1,D,209,priach,priach,,0300,3.8,Y,Y,N,200,,
JZJ-C,Estacion,C,14/09/22,1,D,210,priach,priach,,0300,2.9,Y,Y,N,200,,
JZJ-C,Estacion,C,14/09/22,2,A,R37,priach,priach,,0300,NA,N,N,Y,198,,
JZJ-C,Estacion,C,14/09/22,2,A,R38,priach,priach,,0300,NA,N,N,Y,200,,
JZJ-C,Estacion,C,14/09/22,2,B,211,priach,priach,,0300,2.2,Y,Y,N,197,,
JZJ-C,Estacion,C,14/09/22,2,B,212,priach,priach,,0300,3.7,Y,Y,N,212,,
JZJ-C,Estacion,C,14/09/22,2,C,213,priach,priach,,0300,3.3,Y,Y,N,200,,
JZJ-C,Estacion,C,14/09/22,2,C,R39,priach,priach,,0300,NA,N,N,Y,198,,
JZJ-C,Estacion,C,14/09/22,2,C,214,priach,priach,,0300,2.5,Y,Y,N,200,,
JZJ-C,Estacion,C,14/09/22,2,D,215,priach,priach,,0300,2.3,Y,Y,N,200,,
JZJ-C,Estacion,C,14/09/22,2,D,216,priach,priach,,0300,2.5,Y,Y,N,216,,
JZJ-C,Estacion,C,14/09/22,3,A,R40,priach,priach,,0300,NA,N,N,Y,198,,
JZJ-C,Estacion,C,14/09/22,3,B,217,priach,priach,,0300,2.6,Y,Y,N,217,,
JZJ-C,Estacion,C,14/09/22,3,B,218,priach,priach,,0300,1.8,Y,Y,N,198,,
JZJ-C,Estacion,C,14/09/22,3,C,R41,priach,priach,,0300,NA,N,N,Y,200,,
JZJ-C,Estacion,C,14/09/22,4,A,R42,priach,priach,,0300,NA,N,N,Y,200,,
JZJ-C,Estacion,C,14/09/22,4,A,219,priach,priach,,0300,4.0,Y,Y,N,217,,
