Sitio,Tipo,Transecto,tran_mean_veg,tran_mean_hoja,Pair,tran_mean_CC,tran_coef_var_CC,forest_cover_400,water_dist,veg_bins,hoja_bins,CC_bins,tran_mean_veg_scaled,tran_mean_hoja_scaled,tran_mean_CC_scaled,forest_cover_400_scaled,water_dist_scaled,num_species,num_ind
DG-V,V,4,50,88.75,5,89.1875,0.04469577776903146,0.502,353,50-75,75-95,75-95,0.5981321043865486,1.1271049217608593,0.9628434312738992,0.14643183860970696,1.4683762382960575,5,18
FCAT-B1,B,1,65,67.5,13,93.4375,0.013355611265883556,0.973,129,50-75,50-75,75-95,1.263246996778299,0.3482213143927806,1.1406665293754426,2.2788189608565736,-0.6266318978715659,4,5
FCAT-B1,B,2,32.5,71.875,13,92.375,0.018288800119723312,0.973,129,25-50,50-75,75-95,-0.17783527007049368,0.5085797041450321,1.0962107548500568,2.2788189608565736,-0.6266318978715659,2,15
FCAT-B1,B,3,21.25,88.75,13,92.8125,0.010403259462407603,0.973,129,10-25,75-95,75-95,-0.6766714393643066,1.1271049217608593,1.1145160737722746,2.2788189608565736,-0.6266318978715659,4,12
FCAT-B1,B,4,50.625,78.125,13,92.75,0.017468303769293425,0.973,129,50-75,75-95,75-95,0.6258452249028715,0.73766311807682,1.1119010282119577,2.2788189608565736,-0.6266318978715659,5,7
FCAT-B2,B,1,70,81.25,9,88.25,0.0243691933910556,0.866,122,50-75,75-95,75-95,1.4849519609088826,0.8522048250427139,0.923617747869147,1.7943913131274551,-0.6921009021268041,5,20
FCAT-B2,B,2,58.75,83.125,9,89.6875,0.012748360263890587,0.866,122,50-75,75-95,75-95,0.9861157916150698,0.9209298492222502,0.9837637957564337,1.7943913131274551,-0.6921009021268041,3,15
FCAT-B2,B,3,58.75,81.875,9,89.25,0.027157870349671313,0.866,122,50-75,75-95,75-95,0.9861157916150698,0.8751131664358927,0.965458476834216,1.7943913131274551,-0.6921009021268041,5,18
FCAT-B2,B,4,54.375,86.875,9,86.5,0.02383298049489977,0.866,122,50-75,75-95,75-95,0.7921239480008092,1.058379897581323,0.8503964721802761,1.7943913131274551,-0.6921009021268041,3,13
FCAT-B3,B,1,60.652173913043484,94.78260869565217,12,93.875,0.007989347536617843,0.866,334,50-75,75-95,75-95,1.070460071447357,1.3482202169471935,1.1589718482976603,1.7943913131274551,1.2906746553175537,2,18
FCAT-B3,B,2,61.875,82.5,12,92.5,0.024274222676229695,0.866,334,50-75,75-95,75-95,1.1246813941966844,0.8980215078290714,1.1014408459706904,1.7943913131274551,1.2906746553175537,2,19
FCAT-B3,B,3,63.75,86.25,12,91.75,0.010669700385532,0.866,334,50-75,75-95,75-95,1.2078207557456533,1.0354715561881442,1.0700602992468886,1.7943913131274551,1.2906746553175537,3,14
FCAT-B3,B,4,56.25,77.5,12,90.625,0.01397580152052475,0.866,334,50-75,75-95,75-95,0.875263309549778,0.7147547766836412,1.022989479161186,1.7943913131274551,1.2906746553175537,3,28
FCAT-V1,V,1,58.125,87.5,13,93.5,0.01091572969154714,0.998,66,50-75,75-95,75-95,0.9584026710987468,1.0812882389745018,1.1432815749357594,2.3920029906998255,-1.2158529361687098,3,22
FCAT-V1,V,2,50,84.375,13,92.3125,0.02090460153808966,0.998,66,50-75,75-95,75-95,0.5981321043865486,0.9667465320086078,1.09359570928974,2.3920029906998255,-1.2158529361687098,6,29
FCAT-V1,V,3,60.625,88.125,13,90.5625,0.028454835235456596,0.998,66,50-75,75-95,75-95,1.0692551531640386,1.1041965803676805,1.020374433600869,2.3920029906998255,-1.2158529361687098,4,17
FCAT-V1,V,4,65,87.5,13,91.6875,0.0197093828149979,0.998,66,50-75,75-95,75-95,1.263246996778299,1.0812882389745018,1.0674452536865717,2.3920029906998255,-1.2158529361687098,2,26
