Sitio,Transecto,num_ind,num_species,Tipo,tran_mean_veg,tran_mean_hoja,Pair,tran_mean_CC,tran_coef_var_CC,forest_cover_400,water_dist,veg_bins,hoja_bins,CC_bins,tran_mean_veg_scaled,tran_mean_hoja_scaled,tran_mean_CC_scaled,forest_cover_400_scaled,water_dist_scaled
JS-N,2,13,3,N,8.75,76.875,14,83.25,0.10315654076467067,0.325,125,5-10,75-95,75-95,-0.9580162842586385,1.1618220485848385,1.216497040394366,-0.4241123918268964,-0.7271715661152434
JS-N,3,26,4,N,2.5,82.5,14,87.625,0.09310795362100269,0.325,125,1-5,75-95,75-95,-1.2337619245291402,1.3862013028753641,1.417350292818163,-0.4241123918268964,-0.7271715661152434
JS-N,4,15,6,N,3.125,83.125,14,77.875,0.179114815211086,0.325,125,1-5,75-95,75-95,-1.20618736050209,1.411132331129867,0.969734473130844,-0.4241123918268964,-0.7271715661152434
JZ-C,1,18,2,C,13.541666666666666,18.958333333333332,8,66.1875,0.2743637396669292,0.533,57,10-25,10-25,50-75,-0.7466112933845871,-1.1484532363324242,0.43316935594155775,1.602814363917235,-1.3664612397545015
JZ-C,2,17,3,C,31.666666666666668,6.041666666666666,8,62.8125,0.4040193104025341,0.533,57,25-50,5-10,50-75,0.053051063399868,-1.663694486925483,0.27822541835748577,1.602814363917235,-1.3664612397545015
JZ-C,3,11,2,C,24.791666666666664,13.541666666666666,8,24.9375,0.32990174637032993,0.533,57,10-25,10-25,10-25,-0.2502691408976841,-1.3645221478714489,-1.4605898811970996,1.602814363917235,-1.3664612397545015
JZ-C,4,9,4,C,52.70833333333333,8.75,8,28.875,0.6965797085891144,0.533,57,50-75,5-10,25-50,0.9813947189772237,-1.5556600311559705,-1.2798219540156823,1.602814363917235,-1.3664612397545015
JZ-N,1,13,5,N,51.875,43.125,8,81.9375,0.11086268374690565,0.556,68,50-75,25-50,75-95,0.9446286336078237,-0.18445347715831462,1.156241064667227,1.8269456878697112,-1.2630467337246216
JZ-N,2,8,3,N,81.875,56.875,8,63.0625,0.22274111230048094,0.556,68,75-95,50-75,50-75,2.268207706906232,0.3640291444407478,0.289702747067417,1.8269456878697112,-1.2630467337246216
JZ-N,3,4,1,N,83.75,42.5,8,64.8125,0.3032220862860362,0.556,68,75-95,25-50,50-75,2.3509313989873823,-0.20938450541281745,0.3700440480369358,1.8269456878697112,-1.2630467337246216
JZ-N,4,10,1,N,56.04166666666667,55.83333333333333,8,79.5,0.16046982166255438,0.556,68,50-75,50-75,75-95,1.128459060454825,0.32247743068324286,1.0443371097453973,1.8269456878697112,-1.2630467337246216
JZJ-C,1,32,3,C,26.875,6.875,1,25,0.6042626360559896,0.333,278,25-50,5-10,25-50,-0.15835392747418342,-1.630453115919479,-1.4577205490196168,-0.3461536704521221,0.7112301995730878
JZJ-C,2,24,2,C,25.625,15.625,1,18,0.539466090270223,0.333,278,25-50,10-25,10-25,-0.21350305552828377,-1.2814187203564393,-1.779085752897692,-0.3461536704521221,0.7112301995730878
JZJ-C,3,24,3,C,55,26.875,1,19.6875,0.45127033445156345,0.333,278,50-75,25-50,10-25,1.0825014537430746,-0.8326602117753883,-1.701613784105656,-0.3461536704521221,0.7112301995730878
JZJ-C,4,19,1,C,54.375,33.75,1,36.625,0.2911778232736026,0.333,278,50-75,25-50,25-50,1.0549268897160244,-0.5584189009758571,-0.9240247640078134,-0.3461536704521221,0.7112301995730878
LG-C,1,13,2,C,38.75,53.75,3,45.25,0.45162155398200676,0.392,405,25-50,50-75,25-50,0.36556278903976996,0.2393740031682336,-0.5280569235151851,0.2287918996868382,1.9051976782817024
LG-C,2,12,3,C,50,46.25,3,47.4375,0.16353569738998142,0.392,405,50-75,25-50,25-50,0.8619049415266732,-0.05979833588580043,-0.42763029730328656,0.2287918996868382,1.9051976782817024
LG-C,3,13,4,C,50,35,3,26.8125,0.5049548651301189,0.392,405,50-75,25-50,25-50,0.8619049415266732,-0.5085568444668515,-1.3745099158726153,0.2287918996868382,1.9051976782817024
LG-C,4,15,4,C,51.25,33.75,3,39.3125,0.2824166702166825,0.392,405,50-75,25-50,25-50,0.9170540695807735,-0.5584189009758571,-0.8006434803760524,0.2287918996868382,1.9051976782817024
LG-N,1,23,4,N,50.625,45,3,51.25,0.40083197237412954,0.322,317,50-75,25-50,50-75,0.8894795055537233,-0.1096603923948061,-0.2526010344768349,-0.45334691234243685,1.0778816300426624
LG-N,2,21,5,N,52.5,30,3,46.375,0.49324427132415505,0.322,317,50-75,25-50,25-50,0.9722031976348738,-0.7080050705028742,-0.4764089443204944,-0.45334691234243685,1.0778816300426624
LG-N,3,20,3,N,50,45.625,3,67.6875,0.11626529589762001,0.322,317,50-75,25-50,50-75,0.8619049415266732,-0.08472936414030326,0.5020333282011453,-0.45334691234243685,1.0778816300426624
LG-N,4,18,2,N,50,26.875,3,42.0625,0.5085661285896411,0.322,317,50-75,25-50,25-50,0.8619049415266732,-0.8326602117753883,-0.6743928645668086,-0.45334691234243685,1.0778816300426624
LL-C,1,15,1,C,1.25,46.25,7,61.375,0.641919525097984,0.233,268,1-5,25-50,50-75,-1.2889110525832406,-0.05979833588580043,0.21223077827538103,-1.3206376876368007,0.6172170122731968
LL-C,2,19,2,C,11.875,56.25,7,41.8125,0.6776759266947177,0.233,268,10-25,50-75,25-50,-0.8201434641233877,0.33909811618624497,-0.6858701932767398,-1.3206376876368007,0.6172170122731968
LL-C,3,16,1,C,16.25,46.875,7,46.1875,0.5882437960864427,0.233,268,10-25,25-50,25-50,-0.6271215159340364,-0.03486730763129759,-0.48501694085294283,-1.3206376876368007,0.6172170122731968
