Well,Concentration (Copies/無),Bd_Loads (Copies/無),Sample_ID
351,0,0,HJ 1388
352,0,0,HJ 1392
353,0,0,HJ 1399
354,0,0,HJ 1403
355,0,0,HJ 1405
356,0,0,HJ 1409
357,0,0,HJ 1418
358,0,0,HJ 1419
359,0,0,HJ 1438
360,0,0,HJ 1439
361,0,0,HJ 1440
362,0,0,HJ 1441
363,0,0,HJ 1442
364,0,0,HJ 1444
365,0,0,HJ 1447
366,0,0,HJ 1448
367,0,0,HJ 1450
368,0,0,HJ 1451
369,0,0,HJ 1452
370,0,0,HJ 1459
371,0,0,HJ 1463
372,0,0,HJ 1464
373,0,0,HJ 1466a
374,0,0,HJ 1466b
375,0,0,HJ 1471
376,0,0,HJ 1473
377,0,0,HJ 1477
378,0,0,HJ 1478
379,0,0,HJ 1494
380,0,0,HJ 1495
381,0,0,HJ 1498
382,0,0,HJ 1499
383,0,0,HJ 1500
384,0,0,HJ 1302
385,3.368,33.68,HJ 1503
386,0,0,HJ 1511
387,0,0,HJ 1512
388,0,0,HJ 1526
389,0,0,HJ 1523
390,0,0,HJ 1525
391,0,0,HJ 1529
392,0.187,1.87,HJ 1531
393,0,0,HJ 1535
394,0,0,HJ 1536
395,0.1707,1.707,HJ 1540
396,0,0,HJ 1546
397,0,0,HJ 1547
398,0,0,HJ 1548
399,0,0,HJ 1551
400,0,0,HJ 1552
401,0,0,HJ 1554
402,0,0,HJ 1556
403,0,0,HJ 1567
404,0,0,HJ 1569
405,0,0,HJ 1572
406,0,0,HJ 1576
407,0,0,HJ 1578
408,0,0,HJ 1580
409,0,0,HJ 1582
410,0,0,HJ 1584
411,0,0,HJ 1585
412,0,0,HJ 1586
413,0,0,HJ 1587
414,0.1709,1.709,HJ 1589
415,0,0,HJ 1591
416,0,0,HJ 1593
417,0,0,HJ 1596
418,0,0,HJ 1594
419,0,0,HJ 1598
420,0,0,HJ 1601
421,0,0,HJ 1764
422,0,0,HJ 1769
423,1.006,10.06,HJ 1770
424,0,0,HJ 1780
425,0,0,HJ 1781
426,0,0,HJ 1790
427,0,0,HJ 1791
428,0,0,HJ 1795
429,0,0,HJ 1797
430,0,0,HJ 1798
431,0,0,HJ 1799
432,0,0,HJ 1802
433,0,0,HJ 1803
434,0,0,HJ 1804
435,0,0,HJ 1807
436,0,0,HJ 1809
437,0,0,HJ 1814
438,0,0,HJ 1816
439,0,0,HJ 1818
440,4.136,41.36,HJ 1820
441,0.2843,2.843,HJ 1821
